,X,Y,FEES_PAID,LATITUDE,LONGITUDE,XCOORD,YCOORD,MARADDRESSREPOSITORYID,WARD,PSA
X,1,-0.4568808,-0.021141926,-0.456880541,1,0.999999932,-0.456983476,-0.509408586,0.70935306,0.55569194
Y,-0.4568808,1,-0.021423335,1,-0.456880759,-0.456765399,0.999999956,0.323264297,-0.548471376,-0.133836587
FEES_PAID,-0.021141926,-0.021423335,1,-0.021423606,-0.021141927,-0.021156394,-0.021424233,0.037760291,-0.015934006,-0.026779693
LATITUDE,-0.456880541,1,-0.021423606,1,-0.4568805,-0.456765139,0.999999956,0.323263675,-0.54847148,-0.133835796
LONGITUDE,1,-0.456880759,-0.021141927,-0.4568805,1,0.999999932,-0.456983435,-0.509408582,0.709353049,0.555691946
XCOORD,0.999999932,-0.456765399,-0.021156394,-0.456765139,0.999999932,1,-0.456868024,-0.509386257,0.709415334,0.555792474
YCOORD,-0.456983476,0.999999956,-0.021424233,0.999999956,-0.456983435,-0.456868024,1,0.323320922,-0.54850556,-0.133854304
MARADDRESSREPOSITORYID,-0.509408586,0.323264297,0.037760291,0.323263675,-0.509408582,-0.509386257,0.323320922,1,-0.506193381,-0.127550478
WARD,0.70935306,-0.548471376,-0.015934006,-0.54847148,0.709353049,0.709415334,-0.54850556,-0.506193381,1,0.405170393
PSA,0.55569194,-0.133836587,-0.026779693,-0.133835796,0.555691946,0.555792474,-0.133854304,-0.127550478,0.405170393,1
